id,video_id,title,type,url,channel,duration,theory_density,status,key_concepts
JC001,eRkgK4jfi6M,"Music in 5 Levels of Difficulty: Harmony ft. Herbie Hancock",masterclass,https://youtu.be/eRkgK4jfi6M,WIRED,15:41,5,mapped,"harmony as emotion/narrative; major/minor feeling; triads; circle of fifths bright/dark; reharmonization; harmonic + undertone series; inversions; every-melody-note-over-every-bass; negative harmony; harmonic context; butter notes / leaving out 3rd & 7th; Amazing Grace"
JC002,MLunr5WL0kc,"What EXACTLY does super-ultra-hyper-mega-meta mean? (fan analysis + Jacob clip)",analysis,https://youtu.be/MLunr5WL0kc,(fan/commentary),10:37,4,mapped,"super-ultra-hyper-mega-meta lydian = a SOUND not a scale; lydian that never stops at the root; continuous brightening up the sharp side of the circle of fifths; fourths=darker, fifths=brighter duality; Lydian as optimum brightness"
JC003,DnBr070vcNE,"Interview: Jacob Collier (Part 1)",interview,https://youtu.be/DnBr070vcNE,(interview),12:42,3,mapped,"negative harmony (Levy axis, G7→Fm6, perfect→plagal); bright/dark circle; SUHMM lydian; major=5ths minor=4ths; pentatonic superimposition; microtonal voice-leading"
JC004,b78NoobJNEo,"Interview: Jacob Collier (Part 2)",interview,https://youtu.be/b78NoobJNEo,(interview),38:37,3,mapped,"negative harmony polarity; just intonation vs ET (−14c thirds); Hideaway 432→440; wonky grooves 4-2-3; voice-leading over function (Bach zones); ears before labels"
JC005,QujkcQMQFhg,"Interview: Jacob Collier (Part 3)",interview,https://youtu.be/QujkcQMQFhg,(interview),34:24,3,mapped,"invert the intention; negative cadence; subvert expectation; Midwinter JI tuning; 30-cent quartal chord; found-sound percussion; Herbie polychord; bass a fifth below"
JC006,nfy5I2lNxsc,"Meet the Flintstones [Sax Choir]",performance,https://youtu.be/nfy5I2lNxsc,Jacob Collier,3:10,1,performance,"arrangement/performance — no teaching captions; listening-trail only"
JC007,HLvwFdQFChc,"Moon River [Sax Choir]",performance,https://youtu.be/HLvwFdQFChc,Jacob Collier,8:52,1,pending-fetch,"arrangement/performance; listening-trail only"
JC008,RSPXgdeKLTs,"Master Class at Berklee College of Music [FULL]",masterclass,https://youtu.be/RSPXgdeKLTs,Berklee,1:48:09,5,pending-fetch,"(rate-limited — re-fetch captions next batch)"
JC009,KTHrECsMm2w,"The Emotional Playground of Musical Harmony (Hideaway Retreat 2025)",masterclass,https://youtu.be/KTHrECsMm2w,(retreat),1:09:48,5,mapped,"harmony as feeling; many-D's (one note many chords); feeling-first naming; stable vs tense via overtones; emotion circumplex; pivoting; voicing order; light/dark circle of fifths"
JC010,QU1DdnQ7_zU,"Jacob Collier Full Masterclass — Sydney, June 2025",masterclass,https://youtu.be/QU1DdnQ7_zU,(masterclass),1:41:07,5,gathered,"(transcript gathered — pending concept map)"
JC011,kWAbjT5kbT0,"In Conversation — NYU Sony Audio Institute (Sony Hall, 2026)",conversation,https://youtu.be/kWAbjT5kbT0,NYU/Sony,1:22:01,4,gathered,"(transcript gathered — pending concept map)"
JC012,eVkaNI17ZoI,"Jacob Collier Full Masterclass — Mexico City, 2024",masterclass,https://youtu.be/eVkaNI17ZoI,(masterclass),1:39:24,5,mapped,"same note shifting chord; you-can-add-that-note (tendency tones); personal chord language; naming sounds; practice vs play; conduct crowd into chromatic note; microtonal modulation (Moon River); reharm Bridge Over Troubled Water"
JC013,VUmLhOXUcqU,"GRAMMY U Masterclass with Jacob Collier (Mastercard)",masterclass,https://youtu.be/VUmLhOXUcqU,GRAMMY U,1:45:02,5,mapped,"reharm as destruction-test; what-you-like compass; audience choir triadic conducting; one note many chords; context flips feeling; microtonal between-keys; 3-minute harmony toolkit; play-a-chord-thats-your-mother"
JC014,mLJVvjqMjbo,"Jacob Collier Qwest Masterclass (2019)",masterclass,https://youtu.be/mLJVvjqMjbo,Qwest,26:01,4,mapped,"every note must resolve; triads & inversions as emotion; 6/4 at-home-not-home; visiting a key; major=5ths minor=4ths (negative harmony); stacked polychords; plagal vs perfect; harmonics & temperament; quantize-off groove"
JC015,VJi2kgApeiI,"Music & Mindset at USC (2022)",talk,https://youtu.be/VJi2kgApeiI,USC,1:53:36,3,pending-fetch,"(rate-limited — re-fetch; likely same talk as JC018)"
JC016,sNCNFm17McA,"VC6 Live: Eric Whitacre in conversation with Jacob Collier",conversation,https://youtu.be/sNCNFm17McA,VC6,1:23:06,4,mapped,"golden brick seed; know sound vs label; stacking tonalities/polytonality; stretch the triad super-Lydian; Cloudburst=overtone series; extremes before nuance; leaving notes out; expectation/bluff; write-something-dishonest"
JC017,wEsLD7z7qZA,"Taking the Leap with USC Professor David Belasco",talk,https://youtu.be/wEsLD7z7qZA,USC,1:23:34,3,gathered,"(transcript gathered — pending concept map; creativity/mindset)"
JC018,2gh3tIda2WE,"Jacob Collier: Music, Mindset, and Creativity",talk,https://youtu.be/2gh3tIda2WE,USC,1:53:36,3,pending-fetch,"(rate-limited — re-fetch; likely duplicate of JC015)"
